City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,East London,ZA,2021-09-27 00:23:14,-33.0153,27.9116,65.35,86,29,16.4,scattered clouds
61,Ukiah,US,2021-09-27 00:24:28,39.1502,-123.2078,81.45,44,1,4.61,clear sky
62,Thompson,CA,2021-09-27 00:24:29,55.7435,-97.8558,59.16,63,40,0.0,scattered clouds
63,Dukat,RU,2021-09-27 00:24:29,62.55,155.55,27.37,74,98,3.69,overcast clouds
64,Olafsvik,IS,2021-09-27 00:24:29,64.8945,-23.7142,39.83,74,100,38.77,overcast clouds
65,Mamallapuram,IN,2021-09-27 00:24:30,12.6264,80.1722,82.45,73,100,16.26,overcast clouds
66,Dombarovskiy,RU,2021-09-27 00:24:30,50.7587,59.5386,45.97,43,69,7.83,broken clouds
67,Hobart,AU,2021-09-27 00:20:18,-42.8794,147.3294,54.1,59,20,4.0,few clouds
68,Bredasdorp,ZA,2021-09-27 00:24:30,-34.5322,20.0403,58.32,88,54,5.75,broken clouds
69,Bluff,NZ,2021-09-27 00:24:31,-46.6,168.3333,48.79,53,40,5.73,scattered clouds
70,Torbay,CA,2021-09-27 00:24:31,47.6666,-52.7314,54.68,91,75,11.5,broken clouds
71,Victoria,HK,2021-09-27 00:24:31,22.2855,114.1577,85.32,81,24,1.01,few clouds
72,Arraial Do Cabo,BR,2021-09-27 00:24:32,-22.9661,-42.0278,71.26,85,82,23.94,broken clouds
73,Sinnamary,GF,2021-09-27 00:24:32,5.3833,-52.95,80.64,82,7,11.79,clear sky
74,Klaksvik,FO,2021-09-27 00:24:33,62.2266,-6.589,50.92,84,100,19.01,overcast clouds
75,Scarborough,GB,2021-09-27 00:24:08,54.2797,-0.4044,62.83,81,70,4.0,broken clouds
76,Qaanaaq,GL,2021-09-27 00:24:33,77.484,-69.3632,19.22,60,19,8.59,few clouds
77,Provideniya,RU,2021-09-27 00:24:33,64.3833,-173.3,39.31,60,20,11.18,few clouds
78,Port Alfred,ZA,2021-09-27 00:24:34,-33.5906,26.891,64.96,88,32,19.69,scattered clouds
79,Carnarvon,AU,2021-09-27 00:24:34,-24.8667,113.6333,64.47,68,75,10.36,broken clouds
80,Tocopilla,CL,2021-09-27 00:24:34,-22.092,-70.1979,62.53,72,26,6.24,scattered clouds
81,Faanui,PF,2021-09-27 00:24:35,-16.4833,-151.75,79.88,69,13,12.39,few clouds
82,Sergeyevka,KZ,2021-09-27 00:24:35,53.88,67.4158,38.55,54,100,24.81,overcast clouds
83,Tyrma,RU,2021-09-27 00:24:35,50.0833,132.1667,54.03,75,100,5.99,light rain
84,Meulaboh,ID,2021-09-27 00:24:36,4.1363,96.1285,75.16,90,100,4.99,overcast clouds
85,Gao,ML,2021-09-27 00:22:24,16.6362,1.637,90.93,11,1,6.31,clear sky
86,Castro,BR,2021-09-27 00:24:36,-24.7911,-50.0119,64.49,68,34,3.11,scattered clouds
87,Sidi Ali,DZ,2021-09-27 00:24:36,36.0998,0.4206,70.05,72,85,2.44,overcast clouds
88,Pangnirtung,CA,2021-09-27 00:24:37,66.1451,-65.7125,32.29,77,17,1.88,few clouds
89,Felanitx,ES,2021-09-27 00:24:37,39.4696,3.1483,70.95,67,78,1.21,broken clouds
90,Esperance,AU,2021-09-27 00:24:37,-33.8667,121.9,57.04,89,77,13.22,broken clouds
91,Airai,TL,2021-09-27 00:24:38,-8.9266,125.4092,72.27,39,40,2.19,scattered clouds
92,Nikolskoye,RU,2021-09-27 00:24:38,59.7035,30.7861,49.89,98,48,4.56,scattered clouds
93,Hervey Bay,AU,2021-09-27 00:24:38,-25.2986,152.8535,72.01,65,86,21.05,overcast clouds
94,Mathathane,BW,2021-09-27 00:24:39,-22.2687,28.7495,66.67,32,0,9.48,clear sky
95,Padang,ID,2021-09-27 00:24:39,-0.9492,100.3543,75.25,90,100,2.71,overcast clouds
96,Cherskiy,RU,2021-09-27 00:24:39,68.75,161.3,32.56,100,100,16.35,snow
97,Glossop,GB,2021-09-27 00:24:40,53.4432,-1.949,63.12,81,96,13.76,overcast clouds
98,Hami,CN,2021-09-27 00:24:40,42.8,93.45,60.75,25,0,4.81,clear sky
99,Erzin,TR,2021-09-27 00:24:40,36.9559,36.2,67.01,30,15,2.62,few clouds
100,Ialibu,PG,2021-09-27 00:24:41,-6.2821,143.9935,65.03,75,78,2.98,broken clouds
101,Kisangani,CD,2021-09-27 00:24:41,0.5167,25.2,66.85,98,87,1.07,overcast clouds
102,Ngunguru,NZ,2021-09-27 00:24:41,-35.6167,174.5,60.17,64,100,9.98,overcast clouds
103,Santa Cruz De Tenerife,ES,2021-09-27 00:24:42,28.4682,-16.2546,78.46,71,0,6.91,clear sky
104,Kataysk,RU,2021-09-27 00:24:42,56.289,62.5841,37.99,66,100,17.74,overcast clouds
105,Moron,AR,2021-09-27 00:24:42,-34.6534,-58.6198,70.02,66,80,4.83,broken clouds
106,San Juan,AR,2021-09-27 00:20:05,-31.5375,-68.5364,64.67,24,0,7.65,clear sky
107,Saint-Georges,GD,2021-09-27 00:24:43,12.0564,-61.7485,80.28,83,20,0.0,few clouds
108,Dikson,RU,2021-09-27 00:24:43,73.5069,80.5464,35.71,86,83,22.62,broken clouds
109,Leningradskiy,RU,2021-09-27 00:24:43,69.3833,178.4167,28.38,77,98,7.29,overcast clouds
110,La Palma,US,2021-09-27 00:24:44,33.8464,-118.0467,80.96,72,75,5.01,broken clouds
111,Mogadishu,SO,2021-09-27 00:21:01,2.0371,45.3438,77.81,80,14,16.51,few clouds
112,Barrow,US,2021-09-27 00:21:03,71.2906,-156.7887,21.22,86,1,8.05,clear sky
113,Tam Ky,VN,2021-09-27 00:24:44,15.5667,108.4833,84.18,88,12,3.76,few clouds
114,Mapiri,BO,2021-09-27 00:24:44,-15.25,-68.1667,76.82,62,81,2.84,broken clouds
115,Khatanga,RU,2021-09-27 00:24:14,71.9667,102.5,27.16,95,77,9.1,broken clouds
116,Tadine,NC,2021-09-27 00:24:45,-21.55,167.8833,72.86,55,100,7.94,overcast clouds
117,Rocha,UY,2021-09-27 00:24:45,-34.4833,-54.3333,55.0,93,14,3.36,few clouds
118,Nisia Floresta,BR,2021-09-27 00:24:46,-6.0911,-35.2086,77.38,86,24,11.32,few clouds
119,Harper,LR,2021-09-27 00:24:46,4.375,-7.7169,75.6,87,100,3.33,overcast clouds
120,Lorengau,PG,2021-09-27 00:24:46,-2.0226,147.2712,82.33,79,98,8.41,overcast clouds
121,San Andres,CO,2021-09-27 00:24:47,12.5847,-81.7006,84.22,84,40,11.5,scattered clouds
122,Strezhevoy,RU,2021-09-27 00:24:47,60.7333,77.5889,28.38,93,6,6.78,clear sky
123,Aykhal,RU,2021-09-27 00:24:47,66.0,111.5,28.06,91,92,15.84,overcast clouds
124,Kedrovoye,RU,2021-09-27 00:24:47,57.1576,60.5698,40.44,71,100,11.14,overcast clouds
125,Scottsbluff,US,2021-09-27 00:24:48,41.8666,-103.6672,88.92,17,1,1.01,clear sky
126,Abu Samrah,SY,2021-09-27 00:24:48,35.3029,37.1841,69.46,31,51,2.59,broken clouds
127,Port Elizabeth,ZA,2021-09-27 00:24:49,-33.918,25.5701,62.89,94,20,11.5,few clouds
128,Bhatkal,IN,2021-09-27 00:24:49,13.9667,74.5667,77.76,85,100,2.86,overcast clouds
129,Labuhan,ID,2021-09-27 00:24:49,-6.8844,112.2051,78.48,79,24,7.2,few clouds
130,Siyabuswa,ZA,2021-09-27 00:24:49,-25.1132,29.0445,66.81,34,3,7.27,clear sky
131,Lata,PT,2021-09-27 00:24:50,40.1629,-8.3327,64.04,96,100,1.21,overcast clouds
132,Georgetown,MY,2021-09-27 00:20:16,5.4112,100.3354,76.95,96,20,2.3,few clouds
133,Qaqortoq,GL,2021-09-27 00:24:50,60.7167,-46.0333,34.3,59,1,3.65,clear sky
134,Upernavik,GL,2021-09-27 00:24:51,72.7868,-56.1549,23.95,64,0,3.78,clear sky
135,Tilichiki,RU,2021-09-27 00:24:51,60.4667,166.1,39.96,93,100,4.94,light rain
136,Maningrida,AU,2021-09-27 00:24:51,-12.0667,134.2667,84.72,58,53,6.64,broken clouds
137,Mujiayingzi,CN,2021-09-27 00:24:51,42.1167,118.7833,60.06,77,20,3.87,few clouds
138,Kaitangata,NZ,2021-09-27 00:24:52,-46.2817,169.8464,52.93,38,7,3.22,clear sky
139,Anlu,CN,2021-09-27 00:24:52,31.1661,112.5831,71.1,82,32,9.78,scattered clouds
140,Mezen,RU,2021-09-27 00:24:52,65.8522,44.24,44.62,97,100,0.78,overcast clouds
141,Caconda,AO,2021-09-27 00:24:53,-13.7333,15.0667,59.88,65,26,4.0,scattered clouds
142,Mahebourg,MU,2021-09-27 00:24:53,-20.4081,57.7,70.09,88,75,19.57,light rain
143,Bubaque,GW,2021-09-27 00:24:53,11.2833,-15.8333,83.53,80,100,11.43,overcast clouds
144,Talnakh,RU,2021-09-27 00:24:54,69.4865,88.3972,33.08,52,76,8.28,broken clouds
145,Kavieng,PG,2021-09-27 00:24:54,-2.5744,150.7967,82.85,76,95,9.75,light rain
146,Akersberga,SE,2021-09-27 00:24:54,59.4794,18.2997,51.28,87,72,5.86,broken clouds
147,Westport,US,2021-09-27 00:23:43,41.1415,-73.3579,69.98,67,1,1.99,clear sky
148,Bambous Virieux,MU,2021-09-27 00:24:55,-20.3428,57.7575,70.05,88,75,19.57,light rain
149,San Cristobal,VE,2021-09-27 00:24:55,7.7669,-72.225,78.98,86,83,3.38,broken clouds
150,Ternate,ID,2021-09-27 00:24:55,0.8,127.4,82.58,73,47,3.24,scattered clouds
151,Goundam,ML,2021-09-27 00:24:56,16.4145,-3.6708,94.21,15,62,6.35,broken clouds
152,Fortuna,US,2021-09-27 00:24:56,40.5982,-124.1573,75.42,63,1,4.0,clear sky
153,Bengkulu,ID,2021-09-27 00:24:57,-3.8004,102.2655,75.49,90,99,4.65,overcast clouds
154,Lallayug,PH,2021-09-27 00:24:57,17.7052,121.4398,81.37,82,26,1.72,scattered clouds
155,Kununurra,AU,2021-09-27 00:24:57,-15.7667,128.7333,85.98,51,74,3.44,broken clouds
156,Tromso,NO,2021-09-27 00:24:57,69.6496,18.957,57.85,82,90,5.01,overcast clouds
157,Paamiut,GL,2021-09-27 00:24:58,61.994,-49.6678,34.11,73,7,2.73,clear sky
158,Yakeshi,CN,2021-09-27 00:24:58,49.2833,120.7333,43.56,75,3,13.0,clear sky
159,Liku,ID,2021-09-27 00:24:58,-0.7275,119.8922,79.38,86,99,3.56,overcast clouds
160,Sitka,US,2021-09-27 00:24:59,57.0531,-135.33,55.29,54,90,0.0,overcast clouds
161,Muros,ES,2021-09-27 00:24:59,42.7762,-9.0603,67.23,83,95,19.46,overcast clouds
162,Obo,CF,2021-09-27 00:24:59,5.3998,26.4869,66.85,97,99,2.55,overcast clouds
163,Ballina,AU,2021-09-27 00:25:00,-28.8667,153.5667,62.78,82,90,4.61,overcast clouds
164,Severo-Kurilsk,RU,2021-09-27 00:25:00,50.6789,156.125,52.09,81,80,11.43,broken clouds
165,Saint-Pierre,RE,2021-09-27 00:25:00,-21.3393,55.4781,69.44,77,75,4.61,light rain
166,Marystown,CA,2021-09-27 00:25:01,47.1666,-55.1483,58.86,100,100,1.01,overcast clouds
167,Takoradi,GH,2021-09-27 00:25:01,4.8845,-1.7554,74.26,93,96,7.02,light rain
168,Kerikeri,NZ,2021-09-27 00:25:01,-35.2268,173.9474,59.92,63,99,5.01,light rain
169,Awbari,LY,2021-09-27 00:25:02,26.5921,12.7805,74.14,21,0,5.97,clear sky
170,Sur,OM,2021-09-27 00:25:03,22.5667,59.5289,82.65,68,6,10.45,clear sky
171,Sola,VU,2021-09-27 00:25:04,-13.8833,167.55,84.87,74,90,5.75,overcast clouds
172,Saint-Denis,FR,2021-09-27 00:25:04,48.9167,2.3333,62.38,94,0,1.01,clear sky
173,Ginir,ET,2021-09-27 00:25:04,7.1333,40.7,61.23,67,83,3.78,broken clouds
174,Poddorye,RU,2021-09-27 00:25:05,57.4695,31.1156,45.16,95,41,5.5,scattered clouds
175,Gueret,FR,2021-09-27 00:25:05,46.1667,1.8667,56.03,99,75,3.67,broken clouds
176,Sorland,NO,2021-09-27 00:25:06,67.667,12.6934,53.17,87,99,16.13,overcast clouds
177,Kachiry,KZ,2021-09-27 00:25:06,53.0675,76.1036,31.66,83,12,8.23,few clouds
178,Qandala,SO,2021-09-27 00:25:06,11.472,49.8728,86.52,55,2,2.26,clear sky
179,Clyde River,CA,2021-09-27 00:25:07,70.4692,-68.5914,26.24,86,33,7.63,scattered clouds
180,Bambamarca,PE,2021-09-27 00:25:07,-6.6833,-78.5333,53.74,93,71,4.14,broken clouds
181,Maniwaki,CA,2021-09-27 00:24:39,46.3834,-75.966,52.34,93,99,1.14,overcast clouds
182,Pinega,RU,2021-09-27 00:25:07,64.7001,43.3936,45.07,98,100,2.86,overcast clouds
183,Cumberland,US,2021-09-27 00:25:08,35.0502,-78.8664,69.58,64,1,0.0,clear sky
184,Sutton,GB,2021-09-27 00:21:09,51.35,-0.2,63.05,86,90,3.0,overcast clouds
185,Ambilobe,MG,2021-09-27 00:25:08,-13.2,49.05,67.75,73,6,3.24,clear sky
186,Vaxjo,SE,2021-09-27 00:25:08,56.8777,14.8091,53.65,94,90,6.91,overcast clouds
187,Partyzany,UA,2021-09-27 00:25:09,46.3314,34.7503,55.06,68,25,8.39,scattered clouds
188,Yellandu,IN,2021-09-27 00:25:09,17.6,80.3333,75.31,94,100,4.9,overcast clouds
189,Prado,BR,2021-09-27 00:25:09,-17.3411,-39.2208,73.56,77,77,11.01,broken clouds
190,Moctezuma,MX,2021-09-27 00:25:10,29.8,-109.6667,84.69,41,11,11.68,few clouds
191,Naze,JP,2021-09-27 00:25:10,28.3667,129.4833,83.32,78,15,15.41,few clouds
192,Luebo,CD,2021-09-27 00:25:10,-5.35,21.4167,71.35,87,99,1.54,light rain
193,Nome,US,2021-09-27 00:25:11,64.5011,-165.4064,36.16,69,90,12.66,overcast clouds
194,Buchanan,LR,2021-09-27 00:25:11,5.8808,-10.0467,75.07,95,100,6.26,moderate rain
195,Katherine,AU,2021-09-27 00:25:11,-14.4667,132.2667,86.32,54,77,10.36,broken clouds
