City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Nizwa,OM,70.29,scattered clouds,22.9333,57.5333,Orient Apartments
281,Forbes,AU,60.93,clear sky,-33.3833,148.0167,Lake Forbes Motel
282,Lekoni,GA,74.88,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
286,Wanning,CN,64.54,overcast clouds,18.8003,110.3967,Paradise Hotel
293,Rehoboth,,71.1,broken clouds,-23.3167,17.0833,Noble Luminous Accommodation
295,Swan Hill,AU,58.55,clear sky,-35.3378,143.5544,Lazy River Motor Inn
297,La Asuncion,VE,71.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
298,Bhatapara,IN,68.54,clear sky,21.7333,81.9333,THE BABBU PARADISE
305,Cumberland,US,72.7,few clouds,35.0502,-78.8664,American Eagle Inn
306,Lata,PT,61.21,clear sky,40.1629,-8.3327,Casa Maquia
308,Ranong,TH,74.93,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
310,Bereda,ES,57.92,broken clouds,43.2686,-7.5406,Pazo de Verdes
311,Sittingbourne,GB,52.5,overcast clouds,51.3413,0.7328,The Beaumont
312,Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Punto de encuentro
315,Nishihara,JP,58.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
317,Challakere,IN,70.5,clear sky,14.3167,76.65,SR Residency
320,Martapura,ID,73.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
323,Canico,PT,70.0,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
325,Grahamstown,ZA,58.87,moderate rain,-33.3042,26.5328,Bartholomew's Loft
326,Cabiraoan,PH,71.74,overcast clouds,18.3238,122.086,Bry and Kat Resort
327,Miraflores,MX,68.04,clear sky,19.2167,-98.8083,Hotel Mansión
336,Bandar-E Anzali,IR,50.43,few clouds,37.4727,49.4622,هتل بیاچ
338,Esperance,AU,58.84,clear sky,-33.8667,121.9,Hospitality Esperance
340,Russell,US,71.96,overcast clouds,32.3502,-85.1999,Macs
342,Hirara,JP,64.29,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
349,Dwarka,IN,72.61,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
354,Clemson,US,72.66,scattered clouds,34.6834,-82.8374,Courtyard by Marriott Clemson
355,Port Lincoln,AU,58.87,clear sky,-34.7333,135.8667,Port Lincoln Hotel
358,Rio Gallegos,AR,62.65,smoke,-51.6226,-69.2181,Hotel Santa Cruz
359,Haifa,IL,56.21,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
360,Beloha,MG,72.0,scattered clouds,-25.1667,45.05,Dan Panorama Haifa Hotel
362,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
374,Tombouctou,ML,72.9,scattered clouds,20.0,-3.0,Posada Villaven C.A.
375,Alofi,NU,69.69,light rain,-19.0595,-169.9187,Taloa Heights
376,Buseresere,TZ,66.81,light rain,-3.0236,31.8747,Flamingo Hotels
377,Williamsburg,US,55.35,overcast clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
382,Sayhat,SA,64.38,few clouds,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
384,Hays,US,72.05,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
386,Makakilo City,US,72.01,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
389,Faya,SA,57.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
397,Walvis Bay,,72.55,broken clouds,-22.9575,14.5053,Oyster Box Guesthouse
398,Mundwa,IN,63.25,moderate rain,27.0667,73.8167,Mahadev Guest House
399,Umm Lajj,SA,71.94,overcast clouds,25.0213,37.2685,Moon light Furnished Units
401,Bam,IR,50.13,clear sky,29.106,58.357,Bam Tourist Hotel
403,Pasighat,IN,59.38,overcast clouds,28.0667,95.3333,Siang Guest House
404,Hamilton,US,68.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
405,Ballina,AU,67.96,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
408,Marsh Harbour,BS,74.97,broken clouds,26.5412,-77.0636,Abaco Beach Resort
409,Avera,US,70.92,scattered clouds,33.194,-82.5271,Abaco Beach Resort
411,Hope,US,74.55,overcast clouds,33.6671,-93.5916,Best Western Hope
413,Kindu,CD,72.52,broken clouds,-2.95,25.95,Résidence Okanda
414,Kitale,KE,63.41,overcast clouds,1.0157,35.0062,Engo Airport resort
421,Nelson,NZ,64.69,broken clouds,-41.2833,173.2833,Rutherford Hotel Nelson
423,Tanda,IN,60.96,broken clouds,26.55,82.65,MUMTAZ GANJ TANDA
427,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
433,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
434,San Quintin,MX,56.73,overcast clouds,30.4833,-115.95,Don Eddie's Landing
435,Lashio,MM,50.99,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
460,Mayenne,FR,53.04,light rain,48.3333,-0.6667,la Tour des Anglais
470,Hendaye,FR,63.19,clear sky,43.3717,-1.7738,Parador de Hondarribia
471,Manacor,ES,63.48,scattered clouds,39.5696,3.2096,Hotel Can Guixa
473,Asprovalta,GR,58.08,overcast clouds,40.7167,23.7,Pfaffenhofen
478,Prabumulih,ID,73.67,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
480,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
482,Kalabo,ZM,72.99,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
485,Ocampo,MX,69.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
486,Likasi,CD,68.97,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
487,Sembakung,ID,73.06,moderate rain,3.8167,117.25,TABERNACLE DE LIKASI
494,Margate,GB,51.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
495,Del Rio,US,64.8,mist,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
497,Akyab,MM,67.66,clear sky,20.15,92.9,Hotel Memory
498,Joplin,US,60.44,clear sky,37.0842,-94.5133,Hilton Garden Inn Joplin
503,Bela,IN,61.23,overcast clouds,25.9333,81.9833,Raj Bhawan
504,Lebu,CL,63.91,broken clouds,-37.6167,-73.65,Hostal Las Lilas
508,Treia,IT,52.41,overcast clouds,43.3106,13.3115,Hotel Grimaldi
509,Dawei,MM,73.45,few clouds,14.0833,98.2,Hotel Dawei
512,Ayia Marina,GR,60.4,overcast clouds,37.75,23.5333,Argo Spa Hotel
513,Arlit,NE,71.33,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
515,Bilma,NE,66.94,clear sky,18.6853,12.9164,Expeditions Ténére voyages
516,Sakakah,SA,54.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
517,Conway,US,74.01,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
526,Kumluca,TR,55.67,broken clouds,36.3703,30.2869,TurkuazKöy
529,Phonhong,LA,64.69,clear sky,18.5007,102.4166,Manyvong Guest House
530,Kabalo,CD,70.77,overcast clouds,-6.05,26.9167,Manyvong Guest House
532,Coachella,US,57.34,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
540,Mao,ES,55.96,few clouds,39.8885,4.2658,ARTIEM Capri
542,Katherine,AU,73.72,light rain,-14.4667,132.2667,Pine Tree Motel
543,Naze,JP,53.33,light rain,28.3667,129.4833,Shishime Hotel
546,Soe,ID,63.18,overcast clouds,-9.8607,124.284,Dena Hotel
547,Ancud,CL,65.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
548,Nador,MA,68.07,few clouds,35.174,-2.9287,Hôtel La Giralda
552,Nakhon Phanom,TH,57.9,clear sky,17.3333,104.4167,ป่ายางรีสอร์ท
